source_ctuid,target_ctuid,w_area
0010001.00,0010001.00,1.0000000000
0010002.00,0010002.00,1.0000000000
0010003.00,0010003.00,1.0000000000
0010004.00,0010004.00,1.0000000000
0010005.00,0010005.00,1.0000000000
0010006.00,0010006.00,1.0000000000
0010007.00,0010007.00,1.0000000000
0010008.00,0010008.00,1.0000000000
0010009.00,0010009.00,1.0000000000
0010010.00,0010010.00,1.0000000000
0010011.00,0010011.00,1.0000000000
0010012.00,0010012.00,1.0000000000
0010400.00,0010052.00,1.0000000000
0010401.00,0010054.00,1.0000000000
0010402.00,0010050.00,1.0000000000
0010403.00,0010051.00,0.7360334605
0010403.00,0010053.00,0.2639665395
0010404.00,0010056.00,1.0000000000
0010405.00,0010053.00,1.0000000000
0010406.00,0010053.00,0.5228496437
0010406.00,0010054.00,0.2957012629
0010406.00,0010055.00,0.1814490934
0010407.00,0010057.00,1.0000000000
0010408.00,0010054.00,0.1003982414
0010408.00,0010055.00,0.8996017586
0010409.00,0010058.00,1.0000000000
2050001.00,2050001.00,1.0000000000
2050002.00,2050002.00,1.0000000000
2050003.00,2050003.00,1.0000000000
2050004.00,2050004.00,1.0000000000
2050005.00,2050005.00,1.0000000000
2050006.00,2050006.00,1.0000000000
2050007.00,2050007.00,1.0000000000
2050008.00,2050008.00,1.0000000000
2050009.00,2050009.00,1.0000000000
2050010.00,2050010.00,1.0000000000
2050011.00,2050011.00,1.0000000000
2050012.00,2050012.00,1.0000000000
2050013.00,2050013.00,1.0000000000
2050014.00,2050014.00,1.0000000000
2050015.00,2050015.00,1.0000000000
2050016.00,2050016.00,1.0000000000
2050017.00,2050017.00,1.0000000000
2050018.00,2050018.00,1.0000000000
2050019.00,2050019.00,1.0000000000
2050020.00,2050020.00,1.0000000000
2050400.00,2050053.00,1.0000000000
2050401.00,2050050.00,1.0000000000
2050402.00,-1,0.0000000001
2050402.00,2050051.00,0.2625521195
2050402.00,2050055.00,0.7374478805
2050403.00,-1,0.0000000001
2050403.00,2050022.00,0.2229116510
2050403.00,2050023.00,0.2061587039
2050403.00,2050024.00,0.2435944051
2050403.00,2050051.00,0.2237321000
2050403.00,2050054.00,0.1036031399
2050404.00,2050052.00,0.9965756709
2050404.00,2050056.00,0.0034243291
2050405.00,2050021.00,0.8231964774
2050405.00,2050022.00,0.1768035226
3100001.00,3100001.00,1.0000000000
3100002.00,3100002.00,1.0000000000
3100003.00,3100003.00,1.0000000000
3100004.00,3100004.00,1.0000000000
3100005.00,3100005.00,1.0000000000
3100006.00,3100006.00,1.0000000000
3100007.00,3100007.00,1.0000000000
3100008.00,3100008.00,1.0000000000
3100009.00,3100009.00,1.0000000000
3100010.00,3100010.00,1.0000000000
3100011.00,3100011.00,0.8685789017
3100011.00,3100018.00,0.1314210983
3100012.00,3100012.00,1.0000000000
3100013.00,3100013.00,1.0000000000
3100014.00,3100014.00,1.0000000000
3100015.00,3100015.00,1.0000000000
3100016.00,3100016.00,1.0000000000
3100017.00,3100017.00,1.0000000000
3100017.50,3100013.00,0.0623919251
3100017.50,3100018.00,0.9376080749
3100018.00,3100021.00,1.0000000000
3100019.00,3100022.00,1.0000000000
3100020.00,3100021.00,0.0651238517
3100020.00,3100023.00,0.9348761483
3100020.50,3100024.00,1.0000000000
3100021.00,3100025.00,1.0000000000
3100022.00,3100026.00,1.0000000000
3100022.50,3100050.00,1.0000000000
3100400.00,3100051.00,1.0000000000
3100401.00,3100053.00,1.0000000000
3100402.00,3100052.00,1.0000000000
3100403.00,3100054.00,1.0000000000
4210001.00,4210001.00,1.0000000000
4210002.00,4210002.00,1.0000000000
4210003.00,4210003.00,1.0000000000
4210004.00,4210004.00,1.0000000000
4210005.00,4210005.00,1.0000000000
4210006.00,4210006.00,1.0000000000
4210007.00,4210007.00,1.0000000000
4210008.00,4210008.00,1.0000000000
4210009.00,4210009.00,1.0000000000
4210010.00,4210010.00,1.0000000000
4210011.00,4210011.00,1.0000000000
4210012.00,4210012.00,1.0000000000
4210013.00,4210013.00,1.0000000000
4210014.00,4210014.00,1.0000000000
4210015.00,4210015.00,1.0000000000
4210016.00,4210016.00,1.0000000000
4210017.00,4210017.00,1.0000000000
4210018.00,4210018.00,1.0000000000
4210019.00,4210019.00,1.0000000000
4210020.00,4210020.00,1.0000000000
4210021.00,4210021.00,1.0000000000
4210022.00,4210022.00,1.0000000000
4210023.00,4210023.00,1.0000000000
4210024.00,4210024.00,1.0000000000
4210025.00,4210025.00,1.0000000000
